@id,@type,subClassOf,subClassOf,title,description,distribution.mediaType,format,distribution.accessService.parser,conformsTo
mm:cement_EDX_measurements,owl:Class,emmo:Dataset,temgo:EDSComposition,Image element composition,Tabular data in atomic percentage with at least Si Al Ca C O Mg Fe S,iana:text/csv,,,
mm:cement_SEM_measurements,owl:Class,emmo:Dataset,temgo:SEMImage,BSE image,Tabular data or image in grey scale level of BSE measurement,iana:image/tiff,,,
mm:cement_SEM_EDX_inputdata,owl:Class,emmo:Dataset,,Input numpy file for semi automatic workflow,Numpy file containing all the EDX and SEM images (one per channel) and the list of corresponding channels,,npy,,
mm:cement_EDS_layered,owl:Class,emmo:Dataset,,EDS layered image,Colored image representing the EDS measurement used for visual comparison purpose,iana:image/tiff,,,
mm:cement_median_filt,owl:Class,emmo:Dataset,,Result of the median filtering,Image and BSE histogram showing the effect of the median filtering preprocessing step,iana:image/png,,,
mm:cement_tilt_proc,owl:Class,emmo:Dataset,,Result of the tilt processing,Image and BSE histogram showing the effect of the tilt processing step,iana:image/png,,,
mm:cement_clays_histo,owl:Class,emmo:Dataset,,Clay identification histogram,2D Histograms of Ca vs Si + Al + Fe and result of the GMM for the clays identification if clays are expected,iana:image/png,,,
mm:cement_clays_clust_histo,owl:Class,emmo:Dataset,,Clay clustering histogram,2D Histograms of Fe vs Si - Al and result of the GMM for the clays sub-clustering if clays are expected,iana:image/png,,,
mm:cement_mainphases_id,owl:Class,emmo:Dataset,,Main phase identification,BSE image and clustered image and 2D histograms of BSE vs Al+Si+Fe and result of the GMM clustering,iana:image/png,,,
mm:cement_clinker_clust,owl:Class,emmo:Dataset,,Clinker clustering,2D Histograms of Si/Ca vs (Al+Fe)/Ca and GMM results for silicate and aluminate discrimination,iana:image/png,,,
mm:cement_clinker_threshold,owl:Class,emmo:Dataset,,Clinker subclasses separation,Si/Ca and Fe histograms for C2S vs C3S and C3A vs C4AF separations,iana:image/png,,,
mm:cement_limestone,owl:Class,emmo:Dataset,,Portland limestone separation,2D Histograms of C/Ca vs O/Ca and GMM results for portland and limestone separation,iana:image/png,,,
mm:cement_finalsegmentation,owl:Class,emmo:Dataset,,Segmented image,Final segmented image,iana:image/png,,,
mm:cement_phasassemblage,owl:Class,emmo:Dataset,,Phase assemblage without unmixing,Table of the estimated volume fraction of each segmented phase and their average element composition and some relevant average element ratios,,xlsx,,
mm:cement_entropy,owl:Class,emmo:Dataset,,Uncertainty image,Image of the exp(entropy) associated to the probability of each segmented classes,iana:image/png,,,
mm:cement_segm_proba,owl:Class,emmo:Dataset,,Segmentation results,Numpy file containing the classes associated to each pixel and the probability of each class and the correspondance between classes and phases,,npy,,
mm:cement_atommass,owl:Class,emmo:Dataset,,Atomic mass,Atomic mass associated to each element of interest,,xlsx,,
mm:cement_mineralcomp,owl:Class,emmo:Dataset,,Matrix mineral for unmixing,Table containing the element composition of each phase and their density and if each phase are considered in the unmixing,,xlsx,,
mm:cement_listphases,owl:Class,emmo:Dataset,,Final list of phases after unmixing,Numpy file containing the list of the segmented phases and the phases identified after unmixing,,npy,,
mm:cement_massfractionpixel_npy,owl:Class,emmo:Dataset,,Final result of mass fractions after unmixing,Numpy file containing the mass fraction for each phase attributed to each individual pixel,,npy,,
mm:cement_massfractiontotal_npy,owl:Class,emmo:Dataset,,Final result of mass fractions for each phase,Numpy file containing the total mass fraction found for each image on the whole image,,npy,,
mm:cement_massfraction_pdf,owl:Class,emmo:Dataset,,Final spatial mass distribution of each phase,PDF representing the spatial distribution of each phase relatively to their mass fraction,iana:application/pdf,,,
