@id,@type,theme,title,description,publisher.name,inSeries
semdata:SEM_cement_batch2/77600-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77601-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77602-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77603-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77604-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77605-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77606-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77607-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77608-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77609-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77610-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
semdata:SEM_cement_batch2/77611-23-001,sem:SEMImageSeries,SEM,Series of SEM image of cement sample 77600,"Back-scattered SEM image of cement sample 77600, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2
